Tue Apr 19 16:13:38 2022    profile_results

         751191 function calls (726689 primitive calls) in 10.073 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       34    0.000    0.000    0.022    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/ops/gen_nn_ops.py:2150(depthwise_conv2d_native)
        1    0.000    0.000    0.021    0.021 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/autograph/impl/api.py:235(transform_ast)
     2166    0.005    0.000    0.021    0.000 /u/pdaniel/anaconda3/lib/python3.8/site-packages/pandas/core/series.py:928(__getitem__)
      722    0.006    0.000    0.020    0.000 /u/pdaniel/anaconda3/lib/python3.8/site-packages/PIL/Image.py:2792(fromarray)
        3    0.000    0.000    0.019    0.006 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/data/ops/structured_function.py:86(__init__)
        3    0.000    0.000    0.019    0.006 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/eager/function.py:3061(get_concrete_function)
        3    0.000    0.000    0.019    0.006 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/eager/function.py:2997(_get_concrete_function_garbage_collected)
  1007/22    0.002    0.000    0.018    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/autograph/pyct/transformer.py:417(visit)
  1586/67    0.003    0.000    0.018    0.000 /u/pdaniel/anaconda3/lib/python3.8/ast.py:441(generic_visit)
       36    0.000    0.000    0.016    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/keras/activations.py:273(relu)
       36    0.000    0.000    0.016    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/keras/backend.py:4911(relu)
       35    0.000    0.000    0.016    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/keras/layers/core/activation.py:56(call)
       36    0.000    0.000    0.016    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/ops/gen_nn_ops.py:10502(relu)
       34    0.001    0.000    0.016    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/ops/nn_ops.py:716(__init__)
      750    0.005    0.000    0.015    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/ops.py:3820(_create_op_helper)
78360/77678    0.012    0.000    0.015    0.000 {built-in method builtins.isinstance}
      750    0.015    0.000    0.015    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_FinishOperation}
      553    0.002    0.000    0.014    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/ops.py:2675(get_attr)
     2166    0.002    0.000    0.014    0.000 /u/pdaniel/anaconda3/lib/python3.8/site-packages/pandas/core/series.py:1034(_get_value)
      722    0.002    0.000    0.013    0.000 /u/pdaniel/anaconda3/lib/python3.8/site-packages/PIL/Image.py:2739(frombuffer)
4325/2786    0.003    0.000    0.013    0.000 /u/pdaniel/anaconda3/lib/python3.8/contextlib.py:117(__exit__)
      750    0.008    0.000    0.013    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/ops.py:1933(_NodeDef)
      722    0.002    0.000    0.012    0.000 /u/pdaniel/anaconda3/lib/python3.8/site-packages/pyifcb-0.0.1-py3.8.egg/ifcb/data/roi.py:13(read_image)
      807    0.012    0.000    0.012    0.000 {built-in method numpy.array}
       34    0.000    0.000    0.012    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/ops/array_ops.py:625(shape)
       34    0.000    0.000    0.012    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/ops/array_ops.py:652(shape_internal)
      722    0.003    0.000    0.012    0.000 /u/pdaniel/anaconda3/lib/python3.8/site-packages/PIL/Image.py:720(tobytes)
       40    0.000    0.000    0.012    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/constant_op.py:340(_constant_tensor_conversion_function)
      722    0.011    0.000    0.011    0.000 {built-in method builtins.__build_class__}
     2167    0.003    0.000    0.011    0.000 /u/pdaniel/anaconda3/lib/python3.8/site-packages/pandas/core/indexes/numeric.py:195(__contains__)
        2    0.000    0.000    0.011    0.005 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/data/ops/dataset_ops.py:1859(map)
    13939    0.004    0.000    0.011    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/ops.py:2580(type)
   553/11    0.000    0.000    0.010    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/autograph/core/converter.py:307(visit)
        1    0.000    0.000    0.010    0.010 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/data/ops/dataset_ops.py:2026(flat_map)
        1    0.000    0.000    0.010    0.010 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/data/ops/dataset_ops.py:5276(__init__)
        3    0.000    0.000    0.010    0.003 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/data/ops/structured_function.py:242(wrapped_fn)
      453    0.001    0.000    0.010    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/ops.py:6001(executing_eagerly_outside_functions)
        1    0.000    0.000    0.010    0.010 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/autograph/pyct/transpiler.py:163(create)
      750    0.001    0.000    0.010    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/util/tf_stack.py:169(extract_stack_for_node)
        3    0.000    0.000    0.010    0.003 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/data/ops/structured_function.py:171(wrapper_helper)
      860    0.003    0.000    0.009    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/ops.py:5837(get_controller)
      430    0.001    0.000    0.009    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/func_graph.py:462(as_default)
        6    0.000    0.000    0.009    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/keras/layers/convolutional.py:242(call)
      523    0.001    0.000    0.009    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/ops.py:6763(__enter__)
        6    0.000    0.000    0.009    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/keras/layers/convolutional.py:225(convolution_op)
        6    0.000    0.000    0.009    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/ops/nn_ops.py:1138(convolution_v2)
2061/2028    0.001    0.000    0.009    0.000 {built-in method builtins.any}
        6    0.000    0.000    0.009    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/ops/nn_ops.py:1164(convolution_internal)
      553    0.007    0.000    0.008    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_OperationGetAttrValueProto}
        6    0.000    0.000    0.008    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/ops/nn_ops.py:2742(_conv2d_expanded_batch)
      700    0.001    0.000    0.008    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/op_def_library.py:51(_SatisfiesTypeConstraint)
      959    0.002    0.000    0.008    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/keras/engine/base_layer.py:2944(_flatten_modules)
     6492    0.006    0.000    0.008    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/dtypes.py:678(as_dtype)
      750    0.008    0.000    0.008    0.000 {built-in method tensorflow.python.util._tf_stack.extract_stack_for_node}
       11    0.000    0.000    0.008    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/autograph/pyct/templates.py:230(replace)
      947    0.001    0.000    0.008    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/ops.py:515(_create_with_tf_output)
13918/13448    0.002    0.000    0.008    0.000 {built-in method builtins.len}
    30003    0.006    0.000    0.007    0.000 {built-in method builtins.hasattr}
     1316    0.003    0.000    0.007    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/ops.py:4395(name_scope)
     2207    0.002    0.000    0.007    0.000 /u/pdaniel/anaconda3/lib/python3.8/site-packages/pandas/core/dtypes/common.py:673(is_integer_dtype)
    27864    0.007    0.000    0.007    0.000 {built-in method builtins.getattr}
      722    0.002    0.000    0.007    0.000 /u/pdaniel/anaconda3/lib/python3.8/site-packages/PIL/Image.py:2662(new)
     4325    0.002    0.000    0.007    0.000 /u/pdaniel/anaconda3/lib/python3.8/contextlib.py:238(helper)
       28    0.001    0.000    0.007    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/ops/resource_variable_ops.py:672(numpy)
      723    0.007    0.000    0.007    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.007    0.007 /u/pdaniel/.local/lib/python3.8/site-packages/keras/engine/training.py:1753(make_predict_function)
    13939    0.007    0.000    0.007    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_OperationOpType}
     21/3    0.000    0.000    0.007    0.002 /u/pdaniel/.local/lib/python3.8/site-packages/keras/engine/training.py:294(__setattr__)
        4    0.000    0.000    0.007    0.002 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/eager/function.py:1423(__init__)
      947    0.002    0.000    0.007    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/ops.py:477(__init__)
      285    0.001    0.000    0.007    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/ops/handle_data_util.py:25(copy_handle_data)
     1267    0.001    0.000    0.007    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/util/nest.py:353(flatten)
     1076    0.003    0.000    0.007    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/op_def_library.py:760(value_to_attr_value)
     21/3    0.000    0.000    0.007    0.002 /u/pdaniel/.local/lib/python3.8/site-packages/keras/engine/base_layer.py:2854(__setattr__)
        1    0.000    0.000    0.007    0.007 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/autograph/pyct/loader.py:68(load_ast)
        4    0.000    0.000    0.007    0.002 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/eager/function.py:577(__init__)
    67/23    0.000    0.000    0.006    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/autograph/pyct/transformer.py:278(visit_block)
        4    0.000    0.000    0.006    0.002 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/eager/function.py:349(__init__)
     2170    0.002    0.000    0.006    0.000 /u/pdaniel/anaconda3/lib/python3.8/site-packages/pandas/core/indexes/base.py:3317(get_loc)
       12    0.000    0.000    0.006    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/keras/layers/merge.py:118(call)
       12    0.000    0.000    0.006    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/keras/layers/merge.py:256(_merge_function)
        1    0.000    0.000    0.006    0.006 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/autograph/converters/control_flow.py:404(transform)
